Name,Date,Period,School,Sport
"Lewis, Yvette ",2018-2019,Aug 2017 - Oct 2018 ,Norfolk State University ,"Women's Track, Outdoor "
"Lewnes, Kim ",2018-2019,Jul 2019 -  ,U.S. Naval Academy ,Women's Cross Country 
"Leyson, Daniel ",2018-2019,Jul 2013 -  ,"University of California, Davis ",Men's Water Polo 
"Libby, Larissa ",2018-2019,Jul 2004 -  ,University of Iowa ,Women's Gymnastics 
"Lie, Nate ",2018-2019,Jun 2017 -  ,Xavier University ,Women's Soccer 
"Lieberman, Louise ",2018-2019,Feb 2017 -  ,University of San Diego ,Women's Soccer 
"Lieberwirth, Scott ",2018-2019,Sep 2011 - Oct 2020 ,University of Texas at El Paso ,Men's Golf 
"Ligouri, Bette ",2018-2019,Aug 2009 -  ,Fordham University ,Women's Tennis 
"Lilley, Caroline ",2018-2019,Aug 2019 -  ,Auburn University ,Women's Tennis 
"Lilly, Tom ",2018-2019,Mar 1997 -  ,Creighton University ,Women's Tennis 
"Lilly, Tom ",2018-2019,Mar 1997 -  ,Creighton University ,Men's Tennis 
"Limam, Younes ",2018-2019,Aug 2014 -  ,Syracuse University ,Women's Tennis 
"Limbaugh, Scott ",2018-2019,Aug 2012 -  ,Vanderbilt University ,Men's Golf 
"Lindberg, Andreas ",2018-2019,Feb 2018 -  ,Seton Hall University ,Men's Soccer 
"Lindeman, Ralph ",2018-2019,Aug 1989 -  ,U.S. Air Force Academy ,"Women's Track, Indoor "
"Lindeman, Ralph ",2018-2019,Aug 1989 -  ,U.S. Air Force Academy ,"Women's Track, Outdoor "
"Lindeman, Ralph ",2018-2019,Aug 1989 -  ,U.S. Air Force Academy ,"Men's Track, Indoor "
"Lindeman, Ralph ",2018-2019,Aug 1989 -  ,U.S. Air Force Academy ,"Men's Track, Outdoor "
"Linder, Jeffrey ",2018-2019,Jul 2016 - Apr 2020 ,University of Northern Colorado ,Men's Basketball 
"Lindsey, Chip ",2018-2019,Feb 2019 -  ,Troy University ,Football 
"Lindsey, Dale ",2018-2019,Feb 2013 -  ,University of San Diego ,Football 
"Lindsey, Erin ",2018-2019,Aug 2019 -  ,Santa Clara University ,Women's Volleyball 
"Linenberger, Michael ",2018-2019,Aug 1989 -  ,"California State University, Sacramento ",Men's Soccer 
"Linn, Peter ",2018-2019,Aug 2003 - Sep 2019 ,Eastern Michigan University ,Women's Swimming and Diving 
"Linville, Kateri ",2018-2019,Jul 2010 - Jun 2019 ,University of Delaware ,Women's Lacrosse 
"Lipka, Warren ",2018-2019,Mar 2009 -  ,Morehead State University ,Women's Soccer 
"Lisac, Miha ",2018-2019,Sep 2013 -  ,West Virginia University ,Women's Tennis 
"Littell, Jim ",2018-2019,Dec 2011 -  ,Oklahoma State University ,Women's Basketball 
"Litterio, Joe ",2018-2019,Aug 2014 - Jun 2019 ,"Rutgers, The State University of New Jersey, New Brunswick ",Baseball 
"Littlewood, Michael ",2018-2019,Aug 2012 -  ,Brigham Young University ,Baseball 
"Littrell, Seth ",2018-2019,Jan 2016 -  ,University of North Texas ,Football 
"Litvan, Yefim ",2018-2019,Jul 2007 - Sep 2019 ,New Jersey Institute of Technology ,Men's Fencing 
"Litvan, Yefim ",2018-2019,Jul 2007 - Sep 2019 ,New Jersey Institute of Technology ,Women's Fencing 
"Litzinger, Mike ",2018-2019,May 2016 -  ,University of Notre Dame ,Men's Swimming and Diving 
"Litzinger, Mike ",2018-2019,Jul 2015 -  ,University of Notre Dame ,Women's Swimming and Diving 
"Livingston, Princess ",2018-2019,Sep 2016 - Nov 2018 ,Central Connecticut State University ,Women's Lacrosse 
"Livreri, Maggie ",2018-2019,Aug 2018 -  ,Boise State University ,Softball 
"Lizzotte, Susan ",2018-2019,Jul 2010 -  ,University of Maine ,Men's Swimming and Diving 
"Lizzotte, Susan ",2018-2019,Jul 2010 -  ,University of Maine ,Women's Swimming and Diving 
"Lloyd, Thomas ",2018-2019,Sep 2013 -  ,Loyola Marymount University ,Men's Tennis 
"LoPresti, Mike ",2018-2019,Aug 2004 -  ,"Fairleigh Dickinson University, Metropolitan Campus ",Women's Bowling 
"Locksley, Michael ",2018-2019,Feb 2019 -  ,"University of Maryland, College Park ",Football 
"Lodge, Matt ",2018-2019,Apr 2018 -  ,Murray State University ,Women's Soccer 
"Loeffler, Brian ",2018-2019,Aug 2003 -  ,Loyola University Maryland ,Men's Swimming and Diving 
"Loeffler, Brian ",2018-2019,Aug 2003 -  ,Loyola University Maryland ,Women's Swimming and Diving 
"Loeffler, Scot ",2018-2019,Jan 2019 -  ,Bowling Green State University ,Football 
"Loeffler, Tim ",2018-2019,Jul 2014 -  ,University of Illinois Chicago ,Men's Swimming and Diving 
"Loeffler, Tim ",2018-2019,Jul 2014 -  ,University of Illinois Chicago ,Women's Swimming and Diving 
"Loeswick, Steve ",2018-2019,Mar 2018 -  ,Coastal Carolina University ,Women's Beach Volleyball 
"Loftin, Emily ",2018-2019,Sep 2013 -  ,"California State University, Fresno ",Women's Golf 
"Logan, Chris ",2018-2019,Feb 2017 -  ,University of North Dakota ,Women's Soccer 
"Logan, Joe ",2018-2019,Jun 2005 -  ,Loyola University Maryland ,Women's Basketball 
"Lolla, Ken ",2018-2019,Jan 2006 - Feb 2019 ,University of Louisville ,Men's Soccer 
"Lollar, C. Alan ",2018-2019,Sep 2007 -  ,Murray State University ,Mixed Rifle 
"Lombardi, Melyssa ",2018-2019,Aug 2018 -  ,University of Oregon ,Softball 
"London, Mike ",2018-2019,Feb 2019 -  ,William & Mary ,Football 
"London, Mike ",2018-2019,Feb 2017 - Feb 2019 ,Howard University ,Football 
"London, Pam ",2018-2019,May 2019 -  ,Sacred Heart University ,Softball 
"Long, Kevin ",2018-2019,Sep 2008 - Feb 2020 ,Marshall University ,Women's Soccer 
"Long, Marc ",2018-2019,Apr 2005 -  ,University of Iowa ,Women's Swimming and Diving 
"Long, Marc ",2018-2019,Apr 2005 -  ,University of Iowa ,Men's Swimming and Diving 
"Long, Rocky ",2018-2019,Feb 2011 - Feb 2020 ,San Diego State University ,Football 
"Longacre, Christy ",2018-2019,Apr 2018 -  ,Georgetown University ,Field Hockey 
"Loomis, Geoff ",2018-2019,Jul 2015 -  ,University of Portland ,Baseball 
"Looney, Ryan ",2018-2019,Jun 2019 -  ,Idaho State University ,Men's Basketball 
"Loorz, Ben ",2018-2019,Jul 2016 -  ,"University of Nevada, Las Vegas ",Men's Swimming and Diving 
"Loorz, Ben ",2018-2019,Jul 2016 -  ,"University of Nevada, Las Vegas ",Women's Swimming and Diving 
"Looze, Ray ",2018-2019,Jul 2002 -  ,"Indiana University, Bloomington ",Men's Swimming and Diving 
"Looze, Ray ",2018-2019,Jul 2005 -  ,"Indiana University, Bloomington ",Women's Swimming and Diving 
"Lopes, Samuel ",2018-2019,May 2014 -  ,Providence College ,Women's Soccer 
"Lopez Miro, Sergio ",2018-2019,Jun 2018 -  ,Virginia Polytechnic Institute and State University ,Women's Swimming and Diving 
"Lopez Miro, Sergio ",2018-2019,Jun 2018 -  ,Virginia Polytechnic Institute and State University ,Men's Swimming and Diving 
"Lopez, Jennifer ",2018-2019,Jun 2017 -  ,North Dakota State University ,Women's Volleyball 
"Lora, Manny ",2018-2019,Sep 2018 - Jun 2020 ,Alabama A&M University ,Baseball 
"Lorio, Jeff ",2018-2019,Oct 2016 -  ,University of New Orleans ,Men's Golf 
"Lottich, Matt ",2018-2019,May 2016 -  ,Valparaiso University ,Men's Basketball 
"Loughran, John T. ",2018-2019,Aug 1997 -  ,Loyola Marymount University ,Men's Water Polo 
"Louw, Kylie ",2018-2019,Apr 2019 -  ,Northern Arizona University ,Women's Soccer 
"Lovelady, Greg ",2018-2019,Aug 2016 -  ,University of Central Florida ,Baseball 
"Lovell, Bertram ",2018-2019,Aug 2003 -  ,Grambling State University ,"Women's Track, Outdoor "
"Lovell, Bertram ",2018-2019,Aug 2009 -  ,Grambling State University ,Men's Cross Country 
"Lovell, Bertram ",2018-2019,Aug 2003 -  ,Grambling State University ,Women's Cross Country 
"Lovell, Bertram ",2018-2019,Aug 2003 -  ,Grambling State University ,"Men's Track, Outdoor "
"Lovell, Bertram ",2018-2019,Aug 2003 -  ,Grambling State University ,"Men's Track, Indoor "
"Lovell, Bertram ",2018-2019,Aug 2003 -  ,Grambling State University ,"Women's Track, Indoor "
"Lowe, Jason ",2018-2019,Jan 2019 -  ,Boston College ,Women's Soccer 
"Lowery, Todd ",2018-2019,Mar 2015 -  ,The University of Texas Rio Grande Valley ,Women's Volleyball 
"Lubahn, Casey ",2018-2019,Aug 2011 -  ,Michigan State University ,Men's Golf 
"Lucas, Ashley ",2018-2019,Dec 2017 -  ,University of Illinois Chicago ,"Women's Track, Indoor "
"Lucas, Ashley ",2018-2019,Dec 2017 -  ,University of Illinois Chicago ,Men's Cross Country 
"Lucas, Ashley ",2018-2019,Dec 2017 -  ,University of Illinois Chicago ,Women's Cross Country 
"Lucas, Ashley ",2018-2019,Dec 2017 -  ,University of Illinois Chicago ,"Men's Track, Outdoor "
"Lucas, Ashley ",2018-2019,Dec 2017 -  ,University of Illinois Chicago ,"Women's Track, Outdoor "
"Lucas, Ashley ",2018-2019,Dec 2017 -  ,University of Illinois Chicago ,"Men's Track, Indoor "
"Lucas, Chelsey ",2018-2019,Sep 2016 - Mar 2019 ,Alcorn State University ,Women's Volleyball 
"Lucas, Chelsey ",2018-2019,Mar 2019 -  ,"University of Arkansas, Pine Bluff ",Women's Volleyball 
"Lucas, Matt ",2018-2019,Sep 2017 -  ,University of North Florida ,Men's Tennis 
"Lucas, Mike ",2018-2019,Oct 2014 -  ,College of the Holy Cross ,Women's Tennis 
"Lucas-White, Penny ",2018-2019,Sep 2011 -  ,Alabama State University ,Women's Volleyball 
"Luciano, Andre ",2018-2019,Aug 2003 - Jan 2019 ,Northern Arizona University ,Women's Soccer 
"Luckie, Elizabeth ",2018-2019,Aug 2003 - May 2019 ,Sacred Heart University ,Softball 
"Ludtke, Andrew ",2018-2019,Aug 2016 -  ,Virginia Military Institute ,Men's Cross Country 
"Ludtke, Andrew ",2018-2019,Aug 2016 -  ,Virginia Military Institute ,Women's Cross Country 
"Ludwig, Ryan ",2018-2019,Jul 2011 -  ,Northern Illinois University ,Men's Wrestling 
"Luellen, Melissa ",2018-2019,Aug 2015 -  ,Auburn University ,Women's Golf 
"Luft, Hanna ",2018-2019,Sep 2017 - Aug 2019 ,Loyola Marymount University ,Women's Rowing 
"Luke, Matt ",2018-2019,Aug 2017 - Jan 2020 ,University of Mississippi ,Football 
"Lundgaard, Bret ",2018-2019,Jun 2017 -  ,Princeton University ,Women's Swimming and Diving 
"Lundy, Ralph ",2018-2019,Aug 1987 - Mar 2020 ,College of Charleston (South Carolina) ,Men's Soccer 
"Lunsford, Chad ",2018-2019,Nov 2017 -  ,Georgia Southern University ,Football 
"Lupenec, Mike ",2018-2019,Nov 1996 - Aug 2019 ,University of Detroit Mercy ,Women's Soccer 
"Luther, Matthew ",2018-2019,Aug 2015 -  ,University of South Alabama ,Women's Golf 
"Lycan, Kelly ",2018-2019,Sep 2001 - Apr 2019 ,Western Michigan University ,"Women's Track, Indoor "
"Lycan, Kelly ",2018-2019,Sep 2001 - Apr 2019 ,Western Michigan University ,"Women's Track, Outdoor "
"Lycan, Kelly ",2018-2019,Sep 2001 - Apr 2019 ,Western Michigan University ,Women's Cross Country 
"Lye, Joey ",2018-2019,Sep 2017 - Aug 2020 ,Bucknell University ,Softball 
"Lykins, Elizabeth ",2018-2019,Apr 2012 -  ,University of North Carolina Asheville ,Women's Swimming and Diving 
"Lynch, Bob ",2018-2019,Feb 1989 -  ,Saint Joseph's University ,Men's Golf 
"Lynch, MaryKate ",2018-2019,Aug 2017 -  ,Lehigh University ,Women's Golf 
"Lynum, Kevin ",2018-2019,Apr 2019 - Jun 2020 ,Florida A&M University ,Women's Basketball 
"Lyon, Corey ",2018-2019,Aug 2014 - Sep 2018 ,University of Louisiana Monroe ,Softball 
"Lyons, Sean ",2018-2019,Aug 2016 -  ,Southern Illinois University Edwardsville ,Baseball 
"Ma, Andy ",2018-2019,Aug 2009 -  ,University of Pennsylvania ,Women's Fencing 
"Ma, Andy ",2018-2019,Aug 2009 -  ,University of Pennsylvania ,Men's Fencing 
"Maas, Greg ",2018-2019,Mar 2013 -  ,Utah Valley University ,Men's Soccer 
"Mabile, Christine ",2018-2019,Aug 2018 -  ,Boise State University ,Women's Swimming and Diving 
"MacDonald, Brent ",2018-2019,Feb 2009 -  ,Xavier University ,Women's Swimming and Diving 
"MacDonald, Brent ",2018-2019,Feb 2009 -  ,Xavier University ,Men's Swimming and Diving 
"MacDonald, Christine ",2018-2019,May 2019 -  ,Central Michigan University ,Women's Gymnastics 
"MacDonald, Geoff ",2018-2019,Aug 2003 -  ,Vanderbilt University ,Women's Tennis 
"MacDonald, Neil ",2018-2019,Mar 2013 -  ,Jacksonville State University ,Women's Soccer 
"MacDonald, Steve ",2018-2019,Jul 2019 -  ,St. Cloud State University ,Women's Ice Hockey 
"MacGillivray, Mountain ",2018-2019,May 2018 -  ,La Salle University ,Women's Basketball 
"MacIntyre, Mike ",2018-2019,Jan 2013 - Feb 2019 ,"University of Colorado, Boulder ",Football 
"MacKay, Tripp ",2018-2019,Aug 2018 -  ,Kennesaw State University ,Softball 
"MacKenzie, Chris ",2018-2019,Jun 2013 -  ,University of Connecticut ,Women's Ice Hockey 
"MacPherson, Scott ",2018-2019,Sep 2017 -  ,Harvard University ,Men's Skiing 
"MacPherson, Scott ",2018-2019,Sep 2017 -  ,Harvard University ,Women's Skiing 
"MacWilliams, Dave ",2018-2019,Aug 2003 - Nov 2018 ,Temple University ,Men's Soccer 
"Maccoll, Jonathan ",2018-2019,Feb 2018 -  ,"Rutgers, The State University of New Jersey, New Brunswick ",Women's Swimming and Diving 
"Macedo, Matt ",2018-2019,Sep 2015 -  ,"University of California, Santa Barbara ",Women's Swimming and Diving 
"Macedo, Matt ",2018-2019,Sep 2015 -  ,"University of California, Santa Barbara ",Men's Swimming and Diving 
"Macfarlane, Bob ",2018-2019,Jun 2010 -  ,St. Bonaventure University ,"Men's Track, Outdoor "
"Macfarlane, Bob ",2018-2019,Jun 2010 -  ,St. Bonaventure University ,Women's Cross Country 
"Macfarlane, Bob ",2018-2019,Jun 2010 -  ,St. Bonaventure University ,"Women's Track, Outdoor "
"Macfarlane, Bob ",2018-2019,Jun 2010 -  ,St. Bonaventure University ,Men's Cross Country 
"Machado, Marc ",2018-2019,Jul 2016 -  ,California Baptist University ,Women's Golf 
"Machan, Rob ",2018-2019,Aug 2006 -  ,Sacred Heart University ,Women's Volleyball 
"Machtolf, Mark ",2018-2019,Sep 2003 -  ,Gonzaga University ,Baseball 
"Maciariello, Carmen ",2018-2019,Apr 2019 -  ,Siena College ,Men's Basketball 
"Mack, Chris ",2018-2019,Apr 2018 -  ,University of Louisville ,Men's Basketball 
"Macpherson, David ",2018-2019,Oct 2016 - Nov 2018 ,George Washington University ,Men's Tennis 
"Macy, Heather ",2018-2019,Jun 2010 - Nov 2018 ,East Carolina University ,Women's Basketball 
"Madalon, Matthew ",2018-2019,May 2016 -  ,Princeton University ,Men's Lacrosse 
"Madden, Thomas ",2018-2019,Sep 2013 - Jun 2020 ,La Salle University ,Women's Rowing 
"Madigan, James ",2018-2019,Sep 2011 -  ,Northeastern University ,Men's Ice Hockey 
"Madison, Michele ",2018-2019,Aug 2005 -  ,University of Virginia ,Field Hockey 
"Madl, Diane ",2018-2019,Aug 2003 -  ,Providence College ,Field Hockey 
"Madsen, Eric ",2018-2019,Aug 2008 -  ,Utah Valley University ,Baseball 
"Madsen, Mark ",2018-2019,May 2019 -  ,Utah Valley University ,Men's Basketball 
"Maes, Vicky ",2018-2019,Apr 2019 -  ,University of New Mexico ,Women's Tennis 
"Magarity, Dave ",2018-2019,Jun 2006 -  ,U.S. Military Academy ,Women's Basketball 
"Magarity, Maureen ",2018-2019,Jul 2010 - May 2020 ,University of New Hampshire ,Women's Basketball 
"Magness, Steve ",2018-2019,Sep 2012 -  ,University of Houston ,Men's Cross Country 
"Magness, Steve ",2018-2019,Sep 2012 -  ,University of Houston ,Women's Cross Country 
"Mahefu, Tanya ",2018-2019,Sep 2014 - Aug 2019 ,Northern Illinois University ,Women's Tennis 
"Mahoney, Jesse ",2018-2019,Jan 2016 -  ,"University of Colorado, Boulder ",Women's Volleyball 
"Mahowald, Jason ",2018-2019,Sep 2005 -  ,University of South Dakota ,Men's Swimming and Diving 
"Mahowald, Jason ",2018-2019,Sep 2005 -  ,University of South Dakota ,Women's Swimming and Diving 
"Maiello, Chris ",2018-2019,Jun 2017 -  ,University of Connecticut ,Women's Swimming and Diving 
"Maiello, Chris ",2018-2019,Jun 2017 -  ,University of Connecticut ,Men's Swimming and Diving 
"Main Kohli, Becca ",2018-2019,Aug 1996 -  ,Quinnipiac University ,Field Hockey 
"Mainieri, Paul ",2018-2019,Aug 2006 -  ,Louisiana State University ,Baseball 
"Mainz, Jenny ",2018-2019,Aug 2003 -  ,University of Alabama ,Women's Tennis 
"Maisonneuve, Brian ",2018-2019,Jul 2018 -  ,The Ohio State University ,Men's Soccer 
"Majerle, Dan ",2018-2019,May 2013 - Apr 2020 ,Grand Canyon University ,Men's Basketball 
"Malcom, Tiara ",2018-2019,Jul 2016 - Jan 2021 ,Florida International University ,Women's Basketball 
"Mallia, Joe ",2018-2019,Jan 2019 -  ,Loyola University Maryland ,Women's Soccer 
"Mallory, Curt ",2018-2019,Feb 2017 -  ,Indiana State University ,Football 
"Malloy, Chris ",2018-2019,Jul 2014 -  ,University of Mississippi ,Men's Golf 
"Malone, J.D. ",2018-2019,Jul 1994 -  ,University of Louisiana Monroe ,"Men's Track, Indoor "
"Malone, J.D. ",2018-2019,Jul 1994 -  ,University of Louisiana Monroe ,"Women's Track, Indoor "
"Malone, J.D. ",2018-2019,Aug 1994 -  ,University of Louisiana Monroe ,"Men's Track, Outdoor "
"Malone, J.D. ",2018-2019,Oct 1993 -  ,University of Louisiana Monroe ,Men's Cross Country 
"Malone, J.D. ",2018-2019,Jul 1994 -  ,University of Louisiana Monroe ,Women's Cross Country 
"Malone, J.D. ",2018-2019,Jul 2003 -  ,University of Louisiana Monroe ,"Women's Track, Outdoor "
"Malone, Patrick ",2018-2019,Feb 2019 -  ,Manhattan College ,Men's Swimming and Diving 
"Malone, Patrick ",2018-2019,Feb 2019 -  ,Manhattan College ,Women's Swimming and Diving 
"Malone, Scott ",2018-2019,Aug 2007 -  ,Texas A&M University-Corpus Christi ,Baseball 
"Maloney, Gretchen ",2018-2019,Sep 2015 -  ,Idaho State University ,Women's Tennis 
"Maloney, Gretchen ",2018-2019,Sep 2015 - Aug 2019 ,Idaho State University ,Men's Tennis 
"Maloney, Rich ",2018-2019,Aug 2012 -  ,Ball State University ,Baseball 
"Malroux, Sylvain ",2018-2019,Aug 2015 -  ,"University of Nevada, Reno ",Men's Tennis 
"Malzahn, Gus ",2018-2019,Jan 2013 - Feb 2021 ,Auburn University ,Football 
"Manella, Jess ",2018-2019,Oct 2001 -  ,Saint Joseph's University ,Women's Soccer 
"Maness, Laura ",2018-2019,Aug 2016 -  ,Kennesaw State University ,Women's Lacrosse 
"Manilla, Dominic ",2018-2019,Aug 2011 -  ,Old Dominion University ,Women's Tennis 
"Mann, Jan ",2018-2019,Aug 2009 -  ,"University of North Carolina, Chapel Hill ",Women's Golf 
"Mann, Vanessa ",2018-2019,Apr 2018 -  ,"University of Maryland, Baltimore County ",Women's Soccer 
