"","Name","Date","Period","School","Sport"
"1052","Chaplin, Tanya ","2018-2019","Aug 2003 -  ","Oregon State University ","Women's Gymnastics "
"1053","Chapman, Todd ","2018-2019","Jul 2013 -  ","University of Kansas ","Women's Tennis "
"1054","Charlton, Nick ","2018-2019","Feb 2019 -  ","University of Maine ","Football "
"1055","Chastain, Ashley ","2018-2019","Jul 2019 -  ","The University of North Carolina at Charlotte ","Softball "
"1056","Chastain, Erin ","2018-2019","Mar 2007 -  ","DePaul University ","Women's Soccer "
"1057","Chatmon, Andrew ","2018-2019","Aug 2007 -  ","Alabama State University ","Women's Bowling "
"1058","Cheatham, Michelle ","2018-2019","Sep 2013 -  ","University of Texas at San Antonio ","Softball "
"1059","Checketts, Andrew ","2018-2019","Jul 2011 -  ","University of California, Santa Barbara ","Baseball "
"1060","Cheeseborough-Guice, Chandra ","2018-2019","Jul 2011 -  ","Tennessee State University ","Men's Cross Country "
"1061","Cheeseborough-Guice, Chandra ","2018-2019","Jul 2011 -  ","Tennessee State University ","Men's Track, Outdoor "
"1062","Cheeseborough-Guice, Chandra ","2018-2019","Jul 2011 -  ","Tennessee State University ","Men's Track, Indoor "
"1063","Cheeseborough-Guice, Chandra ","2018-2019","Aug 1994 -  ","Tennessee State University ","Women's Track, Outdoor "
"1064","Cheeseborough-Guice, Chandra ","2018-2019","Sep 1994 -  ","Tennessee State University ","Women's Cross Country "
"1065","Cheeseborough-Guice, Chandra ","2018-2019","Aug 1994 -  ","Tennessee State University ","Women's Track, Indoor "
"1066","Chemotti, Dan ","2018-2019","Dec 2012 -  ","University of Richmond ","Men's Lacrosse "
"1067","Chen, Grant ","2018-2019","Jul 2018 -  ","Southern Methodist University ","Men's Tennis "
"1068","Chesney, Bob ","2018-2019","Feb 2018 -  ","College of the Holy Cross ","Football "
"1069","Chester, Jim ","2018-2019","Aug 2019 -  ","Gardner-Webb University ","Baseball "
"1070","Cheves, Carter ","2018-2019","Aug 2018 - Aug 2019 ","Ohio University ","Men's Golf "
"1071","Chewens, Michelle ","2018-2019","Dec 2017 - Sep 2019 ","Wake Forest University ","Women's Cross Country "
"1072","Childress, Rob ","2018-2019","Jul 2005 -  ","Texas A&M University, College Station ","Baseball "
"1073","Chipps, Daniel ","2018-2019","Mar 2001 -  ","Creighton University ","Women's Rowing "
"1074","Chisum, Karen ","2018-2019","Aug 2003 - Feb 2020 ","Texas State University ","Women's Volleyball "
"1075","Chmelka, Chuck ","2018-2019","Jul 2009 -  ","University of Nebraska, Lincoln ","Men's Gymnastics "
"1076","Choate, Jeff ","2018-2019","Jan 2016 - Mar 2021 ","Montana State University-Bozeman ","Football "
"1077","Choate, Nathan ","2018-2019","Jul 2019 -  ","Loyola Marymount University ","Baseball "
"1078","Choi, Ian ","2018-2019","Apr 2018 -  ","Fordham University ","Women's Volleyball "
"1079","Chorny, Tom ","2018-2019","Aug 2016 -  ","Miami University (Ohio) ","Men's Cross Country "
"1080","Chorny, Tom ","2018-2019","Aug 2016 -  ","Miami University (Ohio) ","Women's Track, Indoor "
"1081","Chorny, Tom ","2018-2019","Aug 2016 -  ","Miami University (Ohio) ","Women's Cross Country "
"1082","Chorny, Tom ","2018-2019","Aug 2016 -  ","Miami University (Ohio) ","Women's Track, Outdoor "
"1083","Chorny, Tom ","2018-2019","Aug 2016 -  ","Miami University (Ohio) ","Men's Track, Outdoor "
"1084","Christensen, Josh ","2018-2019","Oct 2018 -  ","Indiana State University ","Women's Swimming and Diving "
"1085","Christian, Jamion ","2018-2019","Apr 2019 -  ","George Washington University ","Men's Basketball "
"1086","Christian, Jamion ","2018-2019","Jun 2018 - Apr 2019 ","Siena College ","Men's Basketball "
"1087","Christian, Jim ","2018-2019","May 2014 - Mar 2021 ","Boston College ","Men's Basketball "
"1088","Christiansen, Reggie ","2018-2019","Aug 2010 -  ","California State University, Sacramento ","Baseball "
"1089","Christiansz, Anuk ","2018-2019","Oct 2011 -  ","Alabama State University ","Men's Tennis "
"1090","Christiansz, Anuk ","2018-2019","Aug 2011 -  ","Alabama State University ","Women's Tennis "
"1091","Chryst, Paul ","2018-2019","Feb 2015 -  ","University of Wisconsin-Madison ","Football "
"1092","Chumbley, Brent ","2018-2019","Aug 2006 - Sep 2019 ","Radford University ","Women's Track, Outdoor "
"1093","Chumbley, Brent ","2018-2019","Sep 2007 - Sep 2019 ","Radford University ","Women's Cross Country "
"1094","Chumbley, Brent ","2018-2019","Sep 2007 - Sep 2019 ","Radford University ","Men's Cross Country "
"1095","Chumbley, Brent ","2018-2019","Aug 2006 - Sep 2019 ","Radford University ","Women's Track, Indoor "
"1096","Chun, Walter ","2018-2019","Sep 2016 -  ","University of California, Berkeley ","Men's Golf "
"1097","Church, Richard ","2018-2019","Aug 2007 -  ","Southern Utah University ","Women's Golf "
"1098","Church, Richard ","2018-2019","Aug 2003 -  ","Southern Utah University ","Men's Golf "
"1099","Church, Robbie ","2018-2019","Mar 2001 -  ","Duke University ","Women's Soccer "
"1100","Churchill, Angie ","2018-2019","Sep 2017 -  ","University of Hartford ","Softball "
"1101","Cianelli, Dave ","2018-2019","Aug 2001 -  ","Virginia Polytechnic Institute and State University ","Men's Cross Country "
"1102","Cianelli, Dave ","2018-2019","Aug 2001 -  ","Virginia Polytechnic Institute and State University ","Women's Cross Country "
"1103","Cianelli, Dave ","2018-2019","Aug 2001 -  ","Virginia Polytechnic Institute and State University ","Women's Track, Outdoor "
"1104","Cianelli, Dave ","2018-2019","Aug 2001 -  ","Virginia Polytechnic Institute and State University ","Men's Track, Indoor "
"1105","Cianelli, Dave ","2018-2019","Aug 2001 -  ","Virginia Polytechnic Institute and State University ","Women's Track, Indoor "
"1106","Cianelli, Dave ","2018-2019","Aug 2001 -  ","Virginia Polytechnic Institute and State University ","Men's Track, Outdoor "
"1107","Cignetti, Curt ","2018-2019","Feb 2017 - Feb 2019 ","Elon University ","Football "
"1108","Cignetti, Curt ","2018-2019","Feb 2019 -  ","James Madison University ","Football "
"1109","Cilek, Laura ","2018-2019","Sep 2018 -  ","Colorado State University ","Women's Golf "
"1110","Cilli, Barbara ","2018-2019","Aug 2003 -  ","Bryant University ","Women's Tennis "
"1111","Cimino, Linda ","2018-2019","Jun 2018 -  ","St. Francis College Brooklyn ","Women's Basketball "
"1112","Cinella, Pete ","2018-2019","Jul 2007 - May 2019 ","Fairleigh Dickinson University, Metropolitan Campus ","Women's Basketball "
"1113","Cirillo, Nicole ","2018-2019","Feb 2015 - Jan 2020 ","South Dakota State University ","Women's Volleyball "
"1114","Cirovski, Sasho ","2018-2019","Mar 1993 -  ","University of Maryland, College Park ","Men's Soccer "
"1115","Cissell, Chris ","2018-2019","Jun 2011 - Feb 2020 ","University of Missouri-Kansas City ","Women's Soccer "
"1116","Citowicki, Chris ","2018-2019","Jun 2018 -  ","University of Montana ","Women's Soccer "
"1117","City, Chris ","2018-2019","Sep 2017 -  ","Harvard University ","Men's Skiing "
"1118","City, Chris ","2018-2019","Sep 2017 -  ","Harvard University ","Women's Skiing "
"1119","Ciufo, Susan ","2018-2019","Mar 2019 -  ","Temple University ","Field Hockey "
"1120","Civico, Meredith ","2018-2019","Feb 2012 -  ","Rutgers, The State University of New Jersey, New Brunswick ","Field Hockey "
"1121","Clakeley, Eric ","2018-2019","Jun 2019 -  ","Presbyterian College ","Women's Lacrosse "
"1122","Clapper, Todd ","2018-2019","Sep 2005 -  ","Arizona State University ","Women's Water Polo "
"1123","Clark, Becky ","2018-2019","Oct 2005 -  ","University of South Alabama ","Softball "
"1124","Clark, Bernard ","2018-2019","Feb 2018 -  ","Robert Morris University ","Football "
"1125","Clark, Bill ","2018-2019","Feb 2014 -  ","University of Alabama at Birmingham ","Football "
"1126","Clark, Evan ","2018-2019","Jul 2016 -  ","University of Illinois Urbana-Champaign ","Women's Tennis "
"1127","Clark, Holly ","2018-2019","Sep 2017 - Mar 2021 ","The University of North Carolina at Charlotte ","Women's Golf "
"1128","Clark, J.J. ","2018-2019","Jun 2014 - Sep 2019 ","University of Connecticut ","Women's Track, Indoor "
"1129","Clark, J.J. ","2018-2019","Jul 2014 - Sep 2019 ","University of Connecticut ","Women's Cross Country "
"1130","Clark, J.J. ","2018-2019","Jun 2014 - Sep 2019 ","University of Connecticut ","Women's Track, Outdoor "
"1131","Clark, Jamie ","2018-2019","Mar 2011 -  ","University of Washington ","Men's Soccer "
"1132","Clark, John ","2018-2019","Aug 2017 -  ","Sacred Heart University ","Men's Wrestling "
"1133","Clark, Sharon ","2018-2019","Apr 2003 -  ","Butler University ","Women's Volleyball "
"1134","Clark, Steve ","2018-2019","Sep 2014 - Oct 2019 ","Eastern Washington University ","Men's Tennis "
"1135","Clark, Todd ","2018-2019","Feb 2015 - May 2020 ","Canisius College ","Women's Soccer "
"1136","Clark, Trey ","2018-2019","Aug 2003 -  ","Lamar University ","Men's Track, Outdoor "
"1137","Clark, Trey ","2018-2019","Aug 2003 -  ","Lamar University ","Men's Track, Indoor "
"1138","Clark, Trey ","2018-2019","Aug 2003 -  ","Lamar University ","Women's Cross Country "
"1139","Clark, Trey ","2018-2019","Sep 1999 -  ","Lamar University ","Women's Track, Indoor "
"1140","Clark, Trey ","2018-2019","Aug 2003 -  ","Lamar University ","Men's Cross Country "
"1141","Clark, Trey ","2018-2019","Sep 1999 -  ","Lamar University ","Women's Track, Outdoor "
"1142","Clark-Heard, Michelle ","2018-2019","Apr 2018 -  ","University of Cincinnati ","Women's Basketball "
"1143","Clarke, Dave ","2018-2019","Oct 1999 -  ","Quinnipiac University ","Women's Soccer "
"1144","Clarke, Travis ","2018-2019","Apr 2015 - May 2020 ","Saint Mary's College of California ","Women's Soccer "
"1145","Claunch, Austin ","2018-2019","May 2018 -  ","Nicholls State University ","Men's Basketball "
"1146","Clawson, Dave ","2018-2019","Jan 2014 -  ","Wake Forest University ","Football "
"1147","Clay, Christopher ","2018-2019","Sep 2010 -  ","Prairie View A&M University ","Men's Cross Country "
"1148","Clay, Christopher ","2018-2019","Sep 2010 -  ","Prairie View A&M University ","Men's Track, Outdoor "
"1149","Clay, Christopher ","2018-2019","Sep 2010 -  ","Prairie View A&M University ","Men's Track, Indoor "
"1150","Clay, Dick ","2018-2019","Sep 2010 - Jun 2019 ","University of North Dakota ","Men's Cross Country "
"1151","Clay, Dick ","2018-2019","Aug 2003 - Jun 2019 ","University of North Dakota ","Women's Cross Country "
"1152","Clayton, Jerry ","2018-2019","Aug 2013 -  ","University of Michigan ","Men's Track, Indoor "
"1153","Clayton, Jerry ","2018-2019","Aug 2013 -  ","University of Michigan ","Men's Track, Outdoor "
"1154","Clayton, Rob ","2018-2019","Sep 1998 -  ","U.S. Air Force Academy ","Men's Swimming and Diving "
"1155","Cleary, Bill ","2018-2019","May 2016 -  ","Colgate University ","Women's Basketball "
"1156","Cleary, Sean ","2018-2019","Sep 2007 -  ","West Virginia University ","Women's Track, Outdoor "
"1157","Cleary, Sean ","2018-2019","Sep 2007 -  ","West Virginia University ","Women's Cross Country "
"1158","Cleary, Sean ","2018-2019","Sep 2007 -  ","West Virginia University ","Women's Track, Indoor "
"1159","Clegg, Garrett ","2018-2019","Jun 2016 -  ","University of Utah ","Men's Golf "
"1160","Clements, Kyle ","2018-2019","Jun 2010 -  ","University of Wisconsin-Milwaukee ","Women's Swimming and Diving "
"1161","Clements, Kyle ","2018-2019","Jun 2010 -  ","University of Wisconsin-Milwaukee ","Men's Swimming and Diving "
"1162","Clemsen, Alex ","2018-2019","May 2019 -  ","University of Maryland, College Park ","Men's Wrestling "
"1163","Clevenger, Jeremy ","2018-2019","Aug 2018 -  ","University of Idaho ","Women's Soccer "
"1164","Clift, Jim ","2018-2019","Sep 2011 -  ","Western Carolina University ","Softball "
"1165","Clifton, Harold ","2018-2019","Sep 2011 -  ","North Carolina A&T State University ","Women's Volleyball "
"1166","Clinard, Nick ","2018-2019","Aug 2009 -  ","Auburn University ","Men's Golf "
"1167","Clinton, Jessica ","2018-2019","Feb 2014 -  ","Fordham University ","Women's Soccer "
"1168","Clipfell, Shane ","2018-2019","May 2012 -  ","Western Michigan University ","Women's Basketball "
"1169","Close, Cori ","2018-2019","May 2011 -  ","University of California, Los Angeles ","Women's Basketball "
"1170","Clower, Dean ","2018-2019","May 2012 -  ","University of Wyoming ","Women's Tennis "
"1171","Cluess, Tim ","2018-2019","May 2010 - Jun 2020 ","Iona College ","Men's Basketball "
"1172","Coale, Sherri ","2018-2019","May 1996 -  ","University of Oklahoma ","Women's Basketball "
"1173","Coates, Roy ","2018-2019","Sep 1993 -  ","Northeastern University ","Women's Swimming and Diving "
"1174","Coats Fulks, Gayle ","2018-2019","Jun 2017 -  ","Davidson College ","Women's Basketball "
"1175","Cobra, Mariana ","2018-2019","Sep 2016 - Sep 2019 ","University of North Florida ","Women's Tennis "
"1176","Coen, Andy ","2018-2019","Feb 2006 - Feb 2019 ","Lehigh University ","Football "
"1177","Coen, Bill ","2018-2019","May 2006 -  ","Northeastern University ","Men's Basketball "
"1178","Coffey, Ian ","2018-2019","Aug 2014 -  ","University of North Florida ","Women's Swimming and Diving "
"1179","Coffman, Jon ","2018-2019","May 2014 -  ","Purdue University Fort Wayne ","Men's Basketball "
"1180","Cofrin, Andrea ","2018-2019","Oct 2015 - Aug 2020 ","Columbia University-Barnard College ","Women's Lacrosse "
"1181","Cohen, Anna ","2018-2019","Sep 2013 -  ","Saint Mary's College of California ","Women's Rowing "
"1182","Cohen, Audra ","2018-2019","Aug 2016 -  ","University of Oklahoma ","Women's Tennis "
"1183","Colaizzo, Pete ","2018-2019","Aug 2008 -  ","Marist College ","Women's Track, Indoor "
"1184","Colaizzo, Pete ","2018-2019","Aug 2008 -  ","Marist College ","Women's Track, Outdoor "
"1185","Colaizzo, Pete ","2018-2019","Aug 2003 -  ","Marist College ","Men's Track, Indoor "
"1186","Colaizzo, Pete ","2018-2019","Aug 2003 -  ","Marist College ","Men's Track, Outdoor "
"1187","Colaizzo, Pete ","2018-2019","Aug 2003 -  ","Marist College ","Men's Cross Country "
"1188","Colaizzo, Pete ","2018-2019","Sep 2008 -  ","Marist College ","Women's Cross Country "
"1189","Cole, Danton ","2018-2019","May 2017 -  ","Michigan State University ","Men's Ice Hockey "
"1190","Cole, Kelly ","2018-2019","Jul 2014 -  ","Northeastern University ","Women's Basketball "
"1191","Cole, Maureen ","2018-2019","Aug 2011 -  ","University of Hawaii, Manoa ","Women's Water Polo "
"1192","Cole, Mike ","2018-2019","Sep 2017 -  ","Manhattan College ","Baseball "
"1193","Cole, Ryan ","2018-2019","Sep 2014 -  ","U.S. Air Force Academy ","Women's Cross Country "
"1194","Cole, Ryan ","2018-2019","Sep 2014 -  ","U.S. Air Force Academy ","Men's Cross Country "
"1195","Cole, Tom ","2018-2019","Aug 2003 -  ","Gardner-Webb University ","Softball "
"1196","Colella, Dan ","2018-2019","Aug 2005 -  ","Duke University ","Men's Swimming and Diving "
"1197","Colella, Dan ","2018-2019","Aug 2005 -  ","Duke University ","Women's Swimming and Diving "
"1198","Coleman, Craig ","2018-2019","Sep 1990 - Dec 2018 ","Robert Morris University ","Softball "
"1199","Coleman, Rory ","2018-2019","Aug 2013 - Oct 2018 ","Saint Francis University (Pennsylvania) ","Women's Swimming and Diving "
"1200","Colhoff, Julie ","2018-2019","May 2018 -  ","Northern Illinois University ","Women's Soccer "
